key;en;fr;ar;cn;tw;dk;nl;fi;de;he;hi;in;it;jp;kr;no;fa;pl;pt;ru;sp;su;tu;uk
guest;Guest;Invité;ضيف;客人;客人;Gæst;Gast;Vieras;Gast;אוֹרֵחַ;अतिथि;Tamu;Ospite;客;게스트;Gjest;مهمان;Gość;Convidado;Гость;Invitado;Gäst;Misafir;Гість
;;;;;;;;;;;;;;;;;;;;;;;;
microphone_access;You must grant access to your microphone before you can use it.;Vous devez accorder l'accès à votre micro avant de pouvoir l'utiliser.;يجب أن تمنح حق الوصول إلى الميكروفون الخاص بك قبل أن تتمكن من استخدامه.;您必须先授予对麦克风的访问权限，然后才能使用它。;您必須先授予對麥克風的訪問權限，然後才能使用它。;Du skal give adgang til din mikrofon, før du kan bruge den.;U moet toegang verlenen tot uw microfoon voordat u deze kunt gebruiken.;Sinun on myönnettävä mikrofonin käyttöoikeus ennen kuin voit käyttää sitä.;Sie müssen Zugriff auf Ihr Mikrofon gewähren, bevor Sie es verwenden können.;עליך להעניק גישה למיקרופון שלך לפני שתוכל להשתמש בו.;इससे पहले कि आप इसका उपयोग कर सकें, आपको अपने माइक्रोफ़ोन तक पहुंच प्रदान करनी होगी।;Anda harus memberikan akses ke mikrofon Anda sebelum dapat menggunakannya.;Devi concedere l'accesso al tuo microfono prima di poterlo utilizzare.;マイクを使用する前に、マイクへのアクセスを許可する必要があります。;마이크를 사용하려면 먼저 마이크에 대한 액세스 권한을 부여해야 합니다.;Du må gi tilgang til mikrofonen din før du kan bruke den.;قبل از اینکه بتوانید از میکروفون خود استفاده کنید، باید اجازه دسترسی به آن را بدهید.;Musisz przyznać dostęp do swojego mikrofonu, zanim będziesz mógł go używać.;Você deve conceder acesso ao seu microfone antes de poder usá-lo.;Вы должны предоставить доступ к своему микрофону, прежде чем сможете его использовать.;Debe otorgar acceso a su micrófono antes de poder usarlo.;Du måste ge åtkomst till din mikrofon innan du kan använda den.;Kullanmadan önce mikrofonunuza erişim izni vermelisiniz.;Ви повинні надати доступ до свого мікрофона, перш ніж ви зможете ним користуватися.
microphone_access_denied;Update your permissions, then refresh the page.;Mettez à jour vos permissions, puis rafraîchissez la page.;قم بتحديث أذوناتك ، ثم قم بتحديث الصفحة.;更新您的权限，然后刷新页面。;更新您的權限，然後刷新頁面。;Opdater dine tilladelser, og opdater derefter siden.;Werk uw machtigingen bij en vernieuw vervolgens de pagina.;Päivitä käyttöoikeutesi ja päivitä sitten sivu.;Aktualisieren Sie Ihre Berechtigungen und aktualisieren Sie dann die Seite.;עדכן את ההרשאות שלך ולאחר מכן רענן את הדף.;अपनी अनुमतियाँ अद्यतन करें, फिर पृष्ठ को ताज़ा करें।;Perbarui izin Anda, lalu muat ulang halaman.;Aggiorna le tue autorizzazioni, quindi aggiorna la pagina.;権限を更新してからページを更新します。;권한을 업데이트한 다음 페이지를 새로 고칩니다.;Oppdater tillatelsene dine, og oppdater deretter siden.;مجوزهای خود را به روز کنید، سپس صفحه را بازخوانی کنید.;Zaktualizuj swoje uprawnienia, a następnie odśwież stronę.;Atualize suas permissões e atualize a página.;Обновите свои разрешения, затем обновите страницу.;Actualice sus permisos, luego actualice la página.;Uppdatera dina behörigheter och uppdatera sedan sidan.;İzinlerinizi güncelleyin, ardından sayfayı yenileyin.;Оновіть свої дозволи, а потім оновіть сторінку.
microphone_access_not_found;No microphone was found.;Aucun micro n'a été trouvé.;لم يتم العثور على ميكروفون.;没有找到麦克风。;沒有找到麥克風。;Der blev ikke fundet nogen mikrofon.;Er is geen microfoon gevonden.;Mikrofonia ei löytynyt.;Es wurde kein Mikrofon gefunden.;לא נמצא מיקרופון.;कोई माइक्रोफ़ोन नहीं मिला.;Tidak ada mikrofon yang ditemukan.;Nessun microfono trovato.;マイクが見つかりませんでした。;마이크를 찾을 수 없습니다.;Ingen mikrofon ble funnet.;میکروفونی پیدا نشد;Nie znaleziono mikrofonu.;Nenhum microfone foi encontrado.;Микрофон не найден.;No se encontró ningún micrófono.;Ingen mikrofon hittades.;Mikrofon bulunamadı.;Мікрофон не знайдено.
microphone_access_error;An error occured, check that the microphone is not in use by another application and refresh the page.;Une erreur s'est produite, vérifiez que le microphone n'est pas utilisé par une autre application et rafraîchissez la page.;حدث خطأ ، تحقق من أن الميكروفون ليس قيد الاستخدام بواسطة تطبيق آخر وقم بتحديث الصفحة.;发生错误，请检查麦克风是否被其他应用程序使用并刷新页面。;發生錯誤，請檢查麥克風是否被其他應用程序使用並刷新頁面。;Der opstod en fejl. Kontroller, at mikrofonen ikke er i brug af en anden applikation, og opdater siden.;Er is een fout opgetreden, controleer of de microfoon niet in gebruik is door een andere applicatie en ververs de pagina.;Tapahtui virhe, tarkista, ettei mikrofoni ole toisen sovelluksen käytössä, ja päivitä sivu.;Es ist ein Fehler aufgetreten. Überprüfen Sie, ob das Mikrofon nicht von einer anderen Anwendung verwendet wird, und aktualisieren Sie die Seite.;אירעה שגיאה, בדוק שהמיקרופון אינו בשימוש על ידי אפליקציה אחרת ורענן את העמוד.;एक त्रुटि उत्पन्न हुई, जांचें कि माइक्रोफ़ोन किसी अन्य एप्लिकेशन द्वारा उपयोग में नहीं है और पृष्ठ को ताज़ा करें।;Terjadi kesalahan, periksa apakah mikrofon tidak digunakan oleh aplikasi lain dan segarkan halaman.;Si è verificato un errore, verifica che il microfono non sia utilizzato da un'altra applicazione e aggiorna la pagina.;エラーが発生しました。マイクが別のアプリケーションで使用されていないことを確認して、ページを更新してください。;오류가 발생했습니다. 다른 애플리케이션에서 마이크를 사용하고 있지 않은지 확인하고 페이지를 새로고침하세요.;Det oppsto en feil, sjekk at mikrofonen ikke er i bruk av et annet program og oppdater siden.;خطایی روی داد، بررسی کنید که میکروفون توسط برنامه دیگری استفاده نمی شود و صفحه را بازخوانی کنید.;Wystąpił błąd, sprawdź, czy mikrofon nie jest używany przez inną aplikację i odśwież stronę.;Ocorreu um erro, verifique se o microfone não está sendo usado por outro aplicativo e atualize a página.;Произошла ошибка, убедитесь, что микрофон не используется другим приложением, и обновите страницу.;Ocurrió un error, verifique que otra aplicación no esté usando el micrófono y actualice la página.;Ett fel uppstod, kontrollera att mikrofonen inte används av en annan applikation och uppdatera sidan.;Bir hata oluştu, mikrofonun başka bir uygulama tarafından kullanılmadığını kontrol edin ve sayfayı yenileyin.;Сталася помилка. Переконайтеся, що мікрофон не використовується іншою програмою, і оновіть сторінку.
camera_access;Camera access;Accès à la caméra;الوصول إلى الكاميرا;相机访问;相機訪問;Kameraadgang;Camera-toegang;Kameran käyttöoikeus;Kamerazugriff;גישה למצלמה;कैमरा पहुंच;Akses kamera;Accesso alla telecamera;カメラアクセス;카메라 액세스;Kameratilgang;دسترسی به دوربین;Dostęp do aparatu;Acesso à câmera;Доступ к камере;Acceso a la cámara;Kameraåtkomst;Kamera erişimi;Доступ до камери
camera_access_denied;You must grant access to your camera before you can use it.;Vous devez accorder l'accès à votre caméra avant de pouvoir l'utiliser.;يجب أن تمنح حق الوصول إلى الكاميرا الخاصة بك قبل أن تتمكن من استخدامها.;您必须先授予对相机的访问权限，然后才能使用它。;您必須先授予對相機的訪問權限，然後才能使用它。;Du skal give adgang til dit kamera, før du kan bruge det.;U moet toegang tot uw camera verlenen voordat u deze kunt gebruiken.;Sinun on myönnettävä käyttöoikeus kamerallesi, ennen kuin voit käyttää sitä.;Sie müssen Zugriff auf Ihre Kamera gewähren, bevor Sie sie verwenden können.;עליך להעניק גישה למצלמה שלך לפני שתוכל להשתמש בה.;अपने कैमरे का उपयोग करने से पहले आपको उस तक पहुंच प्रदान करनी होगी।;Anda harus memberikan akses ke kamera sebelum dapat menggunakannya.;Devi concedere l'accesso alla videocamera prima di poterla utilizzare.;カメラを使用する前に、カメラへのアクセスを許可する必要があります。;카메라를 사용하려면 먼저 카메라에 대한 액세스 권한을 부여해야 합니다.;Du må gi tilgang til kameraet før du kan bruke det.;قبل از اینکه بتوانید از دوربین خود استفاده کنید، باید به دوربین خود دسترسی داشته باشید.;Musisz przyznać dostęp do swojego kamery, zanim będziesz mógł go używać.;Você deve conceder acesso à sua câmera antes de poder usá-la.;Вы должны предоставить доступ к своей камере, прежде чем сможете ее использовать.;Debe otorgar acceso a su cámara antes de poder usarla.;Du måste ge åtkomst till din kamera innan du kan använda den.;Kullanmadan önce kameranıza erişim izni vermelisiniz.;Ви повинні надати доступ до своєї камери, перш ніж ви зможете нею користуватися.
camera_access_not_found;No camera was found.;Aucune caméra n'a été trouvée.;لم يتم العثور على كاميرا.;没有找到相机。;沒有找到相機。;Intet kamera blev fundet.;Er is geen camera gevonden.;Kameraa ei löytynyt.;Es wurde keine Kamera gefunden.;לא נמצאה מצלמה.;कोई कैमरा नहीं मिला.;Tidak ada kamera yang ditemukan.;Nessuna fotocamera è stata trovata.;カメラが見つかりませんでした。;카메라를 찾을 수 없습니다.;Ingen kamera ble funnet.;دوربینی پیدا نشد;Nie znaleziono kamery.;Nenhuma câmera foi encontrada.;Камера не найдена.;No se encontró ninguna cámara.;Ingen kamera hittades.;Kamera bulunamadı.;Камера не знайдена.
camera_access_error;An error occured, check that the camera is not in use by another application and refresh the page.;Une erreur s'est produite, vérifiez que la caméra n'est pas utilisée par une autre application et rafraîchissez la page.;حدث خطأ ، تحقق من أن الكاميرا ليست قيد الاستخدام بواسطة تطبيق آخر وقم بتحديث الصفحة.;发生错误，请检查相机是否被其他应用程序使用并刷新页面。;發生錯誤，請檢查相機是否被其他應用程序使用並刷新頁面。;Der opstod en fejl. Kontroller, at kameraet ikke er i brug af et andet program, og opdater siden.;Er is een fout opgetreden, controleer of de camera niet door een andere toepassing wordt gebruikt en vernieuw de pagina.;Tapahtui virhe, tarkista, ettei kamera ole toisen sovelluksen käytössä, ja päivitä sivu.;Es ist ein Fehler aufgetreten. Überprüfen Sie, ob die Kamera nicht von einer anderen Anwendung verwendet wird, und aktualisieren Sie die Seite.;אירעה שגיאה, בדוק שהמצלמה אינה בשימוש על ידי אפליקציה אחרת ורענן את הדף.;एक त्रुटि उत्पन्न हुई, जांचें कि कैमरा किसी अन्य एप्लिकेशन द्वारा उपयोग में नहीं है और पृष्ठ को ताज़ा करें।;Terjadi kesalahan, periksa apakah kamera tidak digunakan oleh aplikasi lain dan segarkan halaman.;Si è verificato un errore, verificare che la fotocamera non sia utilizzata da un'altra applicazione e aggiornare la pagina.;エラーが発生しました。カメラが別のアプリケーションで使用されていないことを確認して、ページを更新してください。;오류가 발생했습니다. 다른 애플리케이션에서 카메라를 사용하고 있지 않은지 확인하고 페이지를 새로고침하세요.;Det oppstod en feil, sjekk at kameraet ikke er i bruk av et annet program og oppdater siden.;خطایی روی داد، بررسی کنید که دوربین توسط برنامه دیگری استفاده نمی شود و صفحه را بازخوانی کنید.;Wystąpił błąd, sprawdź, czy kamera nie jest używana przez inną aplikację i odśwież stronę.;Ocorreu um erro, verifique se a câmera não está sendo usada por outro aplicativo e atualize a página.;Произошла ошибка, убедитесь, что камера не используется другим приложением, и обновите страницу.;Ocurrió un error, verifique que otra aplicación no esté usando la cámara y actualice la página.;Ett fel uppstod, kontrollera att kameran inte används av en annan applikation och uppdatera sidan.;Bir hata oluştu, kameranın başka bir uygulama tarafından kullanılmadığını kontrol edin ve sayfayı yenileyin.;Сталася помилка. Переконайтеся, що камера не використовується іншою програмою, і оновіть сторінку.
twincode_error;The Click-to-Call link you entered seems invalid.;Le lien Click-to-Call que vous avez entré semble invalide.;"يبدو أن رابط ""Click-to-Call"" الذي أدخلته غير صالح.";您输入的“点击通话”链接似乎无效。;您輸入的“點擊通話”鏈接似乎無效。;"Det ""Click-to-Call""-linket, du indtastede, ser ud til at være ugyldigt.";"De ""Click-to-Call""-link die u heeft ingevoerd, lijkt ongeldig.";"Antamasi ""Click-to-Call"" -linkki vaikuttaa virheelliseltä.";Der von Ihnen eingegebene „Click-to-Call“-Link scheint ungültig zu sein.;"הקישור ""Click-to-Call"" שהזנת נראה לא חוקי.";"आपके द्वारा दर्ज किया गया ""Click-to-Call"" लिंक अमान्य लगता है।";"Tautan ""Click-to-Call"" yang Anda masukkan tampaknya tidak valid.";"Il link ""Click-to-Call"" che hai inserito sembra non essere valido.";入力した「Click-to-Call」リンクは無効のようです。;"입력한 ""Click-to-Call"" 링크가 유효하지 않은 것 같습니다.";Click-to-Call-koblingen du skrev inn, ser ut til å være ugyldig.;"پیوند ""Click-to-Call"" که وارد کرده اید نامعتبر به نظر می رسد.";Wprowadzony link „Click-to-Call” wydaje się nieprawidłowy.;"O link ""Click-to-Call"" inserido parece inválido.";"Введенная вами ссылка ""Click-to-Call"" кажется недействительной.";"El vínculo ""Click-to-Call"" que ingresó parece no ser válido.";Click-to-Call-länken du angav verkar ogiltig.;"Girdiğiniz ""Click-to-Call"" bağlantısı geçersiz görünüyor.";"Введене вами посилання ""Click-to-Call"" здається недійсним."
general_error_title;Oops!;Oops!;أُووبس!;哎呀！;哎呀！;Ups!;Oeps!;Oho!;Hoppla!;אופס!;उफ़!;Ups!;Ops!;おっとっと！;이런!;Oops!;اوه!;Ups!;Ops!;Ой!;¡Ups!;hoppsan!;Hata!;Ой!
general_error_message;Sorry, something went wrong.;Désolé, un problème est survenu.;عذرا، هناك خطأ ما.;抱歉，出了一些问题。;抱歉，出了一些問題。;Undskyld, noget gik galt.;Sorry, er ging iets mis.;Pahoittelut, jotain meni pieleen.;Entschuldigung, etwas ist schief gelaufen.;מצטערים, משהו השתבש.;क्षमा करें, कुछ गलत हो गया।;Maaf, terjadi kesalahan.;Scusa, qualcosa è andato storto.;申し訳ありませんが、問題が発生しました。;죄송합니다. 문제가 발생했습니다.;Beklager, noe gikk galt.;با عرض پوزش، مشکلی پیش آمد.;Przepraszam, coś poszło nie tak.;Desculpe, algo deu errado.;Извините, что-то пошло не так.;Perdón, algo salió mal.;Förlåt, något gick fel.;Üzgünüm, bir şeyler ters gitti.;Вибач, щось пішло не так.
